global_profile_id,source_file,local_profile_id,float_id,cycle_number,datetime,latitude,longitude,min_pressure,max_pressure,measurement_count,project_name,institution,data_mode
1,20251101_prof.nc,0,4903839,103,2025-11-01 23:55:20,25.08259,57.40106,3.4000000953674316,1410.5999755859375,705,ARGO,FR GDAC,R
2,20251101_prof.nc,1,2902764,215,2025-11-01 23:48:13,3.863,83.923,0.10000000149011612,1982.4000244140625,102,ARGO,FR GDAC,R
3,20251101_prof.nc,2,5906256,198,2025-11-01 22:46:55,-43.037,130.202,4.300000190734863,1998.6400146484375,510,ARGO,FR GDAC,R
4,20251101_prof.nc,3,7900522,238,2025-11-01 22:11:20,-47.723261666666666,60.70451166666667,2.9000000953674316,2006.5,495,ARGO,FR GDAC,R
5,20251101_prof.nc,4,1901839,331,2025-11-01 21:42:25,-16.8355,75.83732,1.1200000047683716,2005.56005859375,1009,ARGO,FR GDAC,R
6,20251101_prof.nc,5,5904815,330,2025-11-01 21:35:17,-22.837,84.083,4.300000190734863,1995.0999755859375,509,ARGO,FR GDAC,R
7,20251101_prof.nc,6,5905401,277,2025-11-01 20:32:43,-38.368,133.2663,4.099999904632568,2008.199951171875,1003,ARGO,FR GDAC,R
8,20251101_prof.nc,7,1902216,328,2025-11-01 19:51:09,-59.89987,118.25858,1.0399999618530273,2005.1199951171875,1008,ARGO,FR GDAC,R
9,20251101_prof.nc,8,7902149,18,2025-11-01 19:50:40,-44.5508,138.3882,4.199999809265137,1999.81005859375,500,ARGO,FR GDAC,R
10,20251101_prof.nc,9,1901754,212,2025-11-01 19:43:22,-37.8535,42.0598,4.300000190734863,1995.97998046875,899,ARGO,FR GDAC,R
11,20251101_prof.nc,10,4902950,273,2025-11-01 19:37:48,-3.4946,51.2792,4.099999904632568,1999.6400146484375,852,ARGO,FR GDAC,R
12,20251101_prof.nc,11,5906152,192,2025-11-01 19:01:05,-42.01054,141.59935,1.0,2005.8800048828125,1009,ARGO,FR GDAC,R
13,20251101_prof.nc,12,1902491,60,2025-11-01 18:03:22,-55.5327,50.1731,2.200000047683716,1949.699951171875,510,ARGO,FR GDAC,R
14,20251101_prof.nc,13,5905562,60,2025-11-01 17:58:20,-42.064065,124.50892333333333,0.20000000298023224,1991.300048828125,996,ARGO,FR GDAC,R
15,20251101_prof.nc,14,1902087,102,2025-11-01 17:22:17,-47.7992,45.488,4.190000057220459,1998.1300048828125,546,ARGO,FR GDAC,R
16,20251101_prof.nc,15,1902081,136,2025-11-01 16:42:11,-44.788,85.8185,2.490000009536743,1998.18994140625,599,ARGO,FR GDAC,R
17,20251101_prof.nc,16,1902346,34,2025-11-01 16:29:16,-45.914,122.704,2.4000000953674316,2014.0,1007,ARGO,FR GDAC,R
18,20251101_prof.nc,17,3902394,217,2025-11-01 16:16:49,-50.719,26.383,4.0,2007.4000244140625,1003,ARGO,FR GDAC,R
19,20251101_prof.nc,18,5904800,332,2025-11-01 15:25:38,-35.519,114.005,4.300000190734863,1997.5999755859375,509,ARGO,FR GDAC,R
20,20251101_prof.nc,19,6903261,243,2025-11-01 14:50:30,-48.32259333333333,106.16910833333333,3.5999999046325684,1980.800048828125,161,ARGO,FR GDAC,R
21,20251101_prof.nc,20,7900553,214,2025-11-01 14:36:20,-51.875701666666664,66.66343166666667,4.900000095367432,2002.300048828125,492,ARGO,FR GDAC,R
22,20251101_prof.nc,21,5905593,28,2025-11-01 14:15:20,-57.19926,103.57973666666666,0.30000001192092896,1985.199951171875,995,ARGO,FR GDAC,R
23,20251101_prof.nc,22,5907171,26,2025-11-01 14:14:48,13.2,89.45,0.30000001192092896,2009.699951171875,103,ARGO,FR GDAC,R
24,20251101_prof.nc,23,7902243,35,2025-11-01 14:10:30,-2.2333333333333334,80.55,0.30000001192092896,2002.5999755859375,103,ARGO,FR GDAC,R
25,20251101_prof.nc,24,4903869,25,2025-11-01 14:07:29,17.533333333333335,88.38333333333334,0.4000000059604645,1988.0999755859375,102,ARGO,FR GDAC,R
26,20251101_prof.nc,25,5907139,35,2025-11-01 14:03:55,-1.6333333333333333,84.83333333333333,0.20000000298023224,1982.699951171875,102,ARGO,FR GDAC,R
27,20251101_prof.nc,26,2903892,78,2025-11-01 14:03:09,14.566666666666666,85.11666666666666,0.20000000298023224,1982.800048828125,102,ARGO,FR GDAC,R
